username, created_at, lng, lat, text
TheRealDonJ0hn, Tue Apr 21 15:01:37 +0000 2020, -98.540651, 29.417501, Just got my @Keenan13Allen powder blue jersey ordered #BoltUp #BestWideOutintheNFL
tmj_chh_cler, Tue Apr 21 15:01:37 +0000 2020, -83.448253, 39.886449, Click the link in our bio to see currently open #Clerical jobs like "On-site Coordinator" at Remedy Intelligent Staffing in #London, OH.
Nepthalie13, Tue Apr 21 15:01:38 +0000 2020, -122.023841, 37.378397, @ImTheRapist What is the title
sachino96, Tue Apr 21 15:01:38 +0000 2020, -122.151394, 38.071610, @chamath Employees are the most important stakeholders for any company. Invest in them
RichardBrinson, Tue Apr 21 15:01:38 +0000 2020, -79.861034, 35.170499, @BillyHoward423 No contact at all without PPE. I didn’t even wear my glasses because they would slide down my nose… https://t.co/HbkK5A5GR3
paaigeyPAIGE, Tue Apr 21 15:01:38 +0000 2020, -75.323899, 39.878068, @NicholeLeandra Stop I love him.
poxa_guid, Tue Apr 21 15:01:38 +0000 2020, -77.203885, 38.937486, quero ver sua raba na praiaaaa
ProgressiveTex, Tue Apr 21 15:01:38 +0000 2020, -95.446486, 29.838495, @BrianKempGA You are making a mistake that will haunt you for the rest of your life. That is, if you don’t kill you… https://t.co/ftESK4aJEG
JamalBloodhound, Tue Apr 21 15:01:38 +0000 2020, -73.130263, 41.416767, @lellingw @page88 Fart.
TomOliverson, Tue Apr 21 15:01:38 +0000 2020, -95.446486, 29.838495, @wonderousATX @MattRinaldiTX You are right.  With WHO reporting close to 80% positive with little or no symptoms, n… https://t.co/H4TqfGv77A
KymiHartnett, Tue Apr 21 15:01:38 +0000 2020, -117.022695, 38.502147, Maybe she thinks it's job security. Lol.. I think she's secured not keeping her job!
SusanWi67860707, Tue Apr 21 15:01:38 +0000 2020, -92.436774, 38.304558, I wish I was younger I'm ready to join a vigilante group to make our treasonous traitors disappear one by one if I… https://t.co/fP0lTmsSVN
humbertoemc2, Tue Apr 21 15:01:38 +0000 2020, -109.103726, 25.921947, Quien le hace revisión de dieta de las últimas 24 horas a sus pacientes para indicarle consejos dieteticos?
MichaelDYaeger, Tue Apr 21 15:01:38 +0000 2020, -84.956303, 34.656972, "So now there is no condemnation for those who belong to Christ Jesus." - Romans 8:1 (NLT) @ Temple Baptist Church… https://t.co/qp3Qhxv1uB
Vault1905, Tue Apr 21 15:01:38 +0000 2020, -116.390330, 43.611290, 12 hours from a much improved view. #CigarDonWilliams @ The Vault https://t.co/NW2RroHXcY
SusanWi67860707, Tue Apr 21 15:01:38 +0000 2020, -92.436774, 38.304558, I guess they are lucky I am old, don't see too well. And to dumb to figure out where these Traitors hang out. Guess… https://t.co/xvJuVTmOCM
r_saunders15, Tue Apr 21 15:01:38 +0000 2020, -88.991529, 40.524775, @flippingbats Well they nailed the running part... 😂
HotGurlJerrika, Tue Apr 21 15:01:39 +0000 2020, -73.849441, 40.850347, You alls captions be so damn stupid lmao
jorupley, Tue Apr 21 15:01:39 +0000 2020, -117.017630, 32.769690, ⚡️⚡️⚡️⚡️🔥🔥🔥
jayduh_davis, Tue Apr 21 15:01:39 +0000 2020, -83.654079, 32.848817, Next year it will be in the middle of my back and that’s when ima wear em😭
OldManWhoBets, Tue Apr 21 15:01:39 +0000 2020, -73.968542, 40.780709, @miltapalooza Haha took 2.5 years to get it to my shoulder blades. Ain’t got time for that kind of maintenance anymore!
Kpedeaux, Tue Apr 21 15:01:39 +0000 2020, -90.011008, 29.982601, It's fun to see a mug out in the wild. Thanks for the continued support!
509knott, Tue Apr 21 15:01:39 +0000 2020, -117.434547, 47.667438, @rvoneinem Looks like the Palouse Hills.
Quae585, Tue Apr 21 15:01:38 +0000 2020, -76.730254, 40.202266, @Jayflvcko__ well when you post the location I’ll be glad to .
drtruthiness, Tue Apr 21 15:01:39 +0000 2020, -85.978600, 35.830522, @funder Sunny in Philadelphia,  from the beginning
simoniette138, Tue Apr 21 15:01:39 +0000 2020, -82.669467, 40.365160, @akplace21 Thank you!
daniel_hurst_, Tue Apr 21 15:01:39 +0000 2020, -100.453089, 31.440523, @BleacherReport @Forbes I respect him but just keep in mind this man is worth more than 2 billion dollars. 4 mil is… https://t.co/G9aSYUm4TA
teamhawke, Tue Apr 21 15:01:39 +0000 2020, -79.886024, 44.748310, ✔️ Tips TuesdaySometimes you just have to leave it to the professionals! #tipstuesday #tuesdaytips… https://t.co/darDoUMUKv
CatchaFirePizza, Tue Apr 21 15:01:39 +0000 2020, -84.375828, 39.208344, We miss seeing our customers everyday 😢 and can’t wait til you’re back in the taproom and beer garden! When it’s sa… https://t.co/wPJTK4tyTu
CiaraHempseed, Tue Apr 21 15:01:39 +0000 2020, -123.123581, 49.257639, I was a sad girl yesterday and devoured too much ice cream. Today I’m doing a hardcore workout and yoga. Life’s abo… https://t.co/kwBalhuGtS
vladimirherna14, Tue Apr 21 15:01:39 +0000 2020, -87.706565, 30.286828, Muy buenos dias a todos en el Mundo. https://t.co/RAw0llLcwA
jessetravisss, Tue Apr 21 15:01:39 +0000 2020, -80.717601, 28.259177, 100% want to do some anime shoes next...
whoissizzle, Tue Apr 21 15:01:39 +0000 2020, -81.068556, 29.190223, @animelovergyal @michael188895 @Sheer__Opulence @Mr_Vegger @Divestblackgirl @vampireancestor @AlexxisHB yea, OKKK troll.
TallPaulsLife, Tue Apr 21 15:01:40 +0000 2020, -122.818486, 49.111519, @DonohueBlair Thanks Blair!!
4thnumeral, Tue Apr 21 15:01:40 +0000 2020, -76.069946, 36.802541, @MsKatFritz Nope
modemjunkie, Tue Apr 21 15:01:40 +0000 2020, -87.819763, 41.894022, @AlexBerenson @CNN @threadreaderapp rollup please.
aaroncostaganis, Tue Apr 21 15:01:40 +0000 2020, -73.948775, 40.655138, @NYCMayor BREAKING NEWS: health care workers and first responders prefer a living wage and reliable benefits over a ticker tape parade
StrandTennis, Tue Apr 21 15:01:40 +0000 2020, -74.392018, 40.731458, Go hard with your weapon. It will pay off. #tennisnj #tennistips #tenniscoach #stevencapo. https://t.co/iqFb6cSSRp
ChicagoStyles84, Tue Apr 21 15:01:40 +0000 2020, -97.477426, 25.972106, The greatest team of all time 🙏💯 https://t.co/oVKl0R6bVf
StephLeigh2393, Tue Apr 21 15:01:40 +0000 2020, -83.369718, 42.311306, UP is such a magical and amazing movies. I tweet with tears running down my face 🎈
EWhite_TheBrand, Tue Apr 21 15:01:40 +0000 2020, -80.178392, 26.039680, 🙏🏾
soulo_skarr, Tue Apr 21 15:01:40 +0000 2020, -117.319871, 34.057348, I had a bomb ass 420.. made the best outta it. It was beautiful 💚
FierroNicole, Tue Apr 21 15:01:40 +0000 2020, -104.922093, 39.713563, $1.00!!!!!
Scorpio_Finch, Tue Apr 21 15:01:40 +0000 2020, -96.761753, 32.819858, The only way some people learn is the hard way...
86Vicki, Tue Apr 21 15:01:40 +0000 2020, -77.493170, 37.529883, *tan
hoeenz, Tue Apr 21 15:01:40 +0000 2020, -157.799589, 21.319944, @mrpjinpajamas woow 👀
kimmytoronto, Tue Apr 21 15:01:40 +0000 2020, -79.272570, 43.629311, He should be required to go to all the stores first.
jdmoore45, Tue Apr 21 15:01:40 +0000 2020, -82.772830, 27.904263, @WHSCI @SenThomTillis Suffering and dying thanks to Thom telling us it was a hoax. He did no research on his own, j… https://t.co/tOcPk1j4Oe
mowoodier, Tue Apr 21 15:01:40 +0000 2020, -86.791549, 36.200008, @AlbericiSuzanne @FlatMatzley @StillCrankyAF @TN_Patricoa @MaintenanceJoh1 I’m the actual victim here
kissykiszka, Tue Apr 21 15:01:41 +0000 2020, -85.170051, 41.086917, truuuuueee https://t.co/SzZNPeO3zl
FlanaganKat, Tue Apr 21 15:01:41 +0000 2020, -98.540651, 29.417501, @bennnywennny "Enema, give 'em an enema."
weinstockjosh, Tue Apr 21 15:01:41 +0000 2020, -93.166616, 44.818478, my professor got mad at me for emailing his school account and not know he exclusively used his “yahoo mail” account
Pammie3333, Tue Apr 21 15:01:41 +0000 2020, -98.123250, 29.705614, @WhiteHouse @realDonaldTrump Trump can’t get more testing supplies. He’s incapable of doing it. So instead he’s acc… https://t.co/Eo24cfGSyC
thetonysotoshow, Tue Apr 21 15:01:41 +0000 2020, -118.411907, 34.020789, @Tullymane @ChurchofSatan @devil_texas @moachia You are so stupid.
radyjoel, Tue Apr 21 15:01:41 +0000 2020, -81.220009, 28.904590, Yo que hoy me levanté motivado y feliz. 🥺
gg_colorado, Tue Apr 21 15:01:41 +0000 2020, -104.922093, 39.713563, @vinnyg71284 @LoanCareLLC @KamalaHarris @NYGovCuomo @AOC @Chase @BankofAmerica I know! They are not assisting! Cong… https://t.co/MY65XVIRt7
jerrybarnaby, Tue Apr 21 15:01:41 +0000 2020, -86.456338, 36.985429, Easy one.  #wrzLBR#wkulittlebigred@wkulittlebigred#TogetherWKUstaff#wkustaffsenate#wku @ Western Kentucky Univ… https://t.co/FtTOkBjndG
1celticwomyn, Tue Apr 21 15:01:41 +0000 2020, -83.173867, 32.678207, WTAF!!  They in the SHALLOW end of the gene pool?
