username, created_at, lng, lat, text
novacanegoddess, Tue Apr 21 14:31:59 +0000 2020, -84.433106, 33.767195, @_Lovee_Diaa Chile bold was the right thing to put on the label
HHINTONU, Tue Apr 21 14:32:00 +0000 2020, -117.775183, 33.547673, @THEBLACKCOURT @brijunk PT4.The masses have always piggybacked on black lives without supporting the cause while… https://t.co/a2mtUMlrR2
DannyArroyo, Tue Apr 21 14:32:01 +0000 2020, -118.411907, 34.020789, @AdamSchefter @Chargers https://t.co/Geh6R4laPC
eso_logic, Tue Apr 21 14:32:01 +0000 2020, -71.021340, 42.256124, @laneharrison @vispyproject Thanks Lane! Have you tried VisPy before?
DirtyBomb32, Tue Apr 21 14:32:01 +0000 2020, -83.207858, 42.261950, @dananessel I hear a certain level of sarcasm in the beginning and then you nail it down hard at the end.#priorites
eso_logic, Tue Apr 21 14:32:01 +0000 2020, -71.021340, 42.256124, @laneharrison @vispyproject Thanks Lane! Have you tried VisPy before?
AlgernonWrites, Tue Apr 21 14:32:01 +0000 2020, -107.744496, 32.261435, A Las Cruces distiller is producing hand sanitizer. Smells like vodka. https://t.co/7MlsVGSqTb
BetrCutlerLoose, Tue Apr 21 14:32:01 +0000 2020, -117.072318, 33.120359, @GENmag #RecallGavinNewsom Governor Gumby, 'er @GavinNewsom , needs to #OpenCalifornia now!This is bad.They had… https://t.co/0eLJUN9amA
Theylovebb, Tue Apr 21 14:32:01 +0000 2020, -83.173867, 32.678207, LMFAOO😂😂😂
BrandyLJensen, Tue Apr 21 14:31:56 +0000 2020, -73.948775, 40.655138, the women writing these bizarre screeds against the Karen thing are all British terfs. you almost have to be please… https://t.co/G2JD9dlCEv
miss_anathea, Tue Apr 21 14:31:58 +0000 2020, -73.723025, 45.557830, @Feministhoe_ And she's mad because Thuli reacted to her man's story?
coach_robbs7, Tue Apr 21 14:32:01 +0000 2020, -103.147538, 32.741737, @DST_Josh You won't. https://t.co/YX30FFM7h1
wayne8135, Tue Apr 21 14:32:01 +0000 2020, -95.446486, 29.838495, @Aviyahu_ @Yahnnisse God is not through whit his work on earth
KingThelonious, Tue Apr 21 14:32:01 +0000 2020, -87.732013, 41.833585, The other photo shoot when they had those terrible we going to the club fits.
jimmeybo, Tue Apr 21 14:32:01 +0000 2020, -77.572455, 43.211767, NPR: SBA Paycheck Protection Program Gives Continental Materials $5.5 Million Loan.https://t.co/qeyIrzIXXTvia @GoogleNews
WheresCodyBanks, Tue Apr 21 14:31:59 +0000 2020, -95.446486, 29.838495, Nah fr 🤣
RomanAround412, Tue Apr 21 14:32:01 +0000 2020, -79.980689, 40.431389, @acraighead9 https://t.co/JASDvMa2VA
tinadola7, Tue Apr 21 14:32:02 +0000 2020, -74.153947, 40.572376, @jamescharles yes
J2islove_1985, Tue Apr 21 14:32:02 +0000 2020, -100.076888, 31.168893, What the😯.....I didn't know that @austintindle has a flippin Twitter account....🤦‍♀️following now.🙂🙃👌
dinasztie13, Tue Apr 21 14:32:02 +0000 2020, -73.968542, 40.780709, @FritzandOscars And she looked stunning! Her look would even meet today’s standards.I don’t mind her winning. Not a… https://t.co/8RNNIl7Iq7
pridenation, Tue Apr 21 14:32:02 +0000 2020, -116.517290, 33.825080, Stay home and safe. 🌈 https://t.co/KRKhaeWZ88 https://t.co/D9lLFNonWw
JWCM, Tue Apr 21 14:32:02 +0000 2020, -117.660423, 34.155009, @JubelGantry The Dali is pleased
cbcpowerhouse, Tue Apr 21 14:32:02 +0000 2020, -95.446486, 29.838495, When Jesus rose from the grave he stripped death of its sting! (1 Corinthians 15:55)https://t.co/0TBMz4ogka
SonofDecatur, Tue Apr 21 14:32:02 +0000 2020, -83.173867, 32.678207, @non_bona_dicta Both parties are performing propaganda; Republicans are just better at sell thier shit compared to… https://t.co/3wivUTmiEq
Oneofnone_, Tue Apr 21 14:32:02 +0000 2020, -71.026774, 42.084567, Crazy cause @JamesBoy3000 really bouta sleep through half the drop 🤦🏽‍♂️
clabaugh_mark, Tue Apr 21 14:32:02 +0000 2020, -83.804475, 27.698682, @piersmorgan Imagine living in our county here in Florida where we have a .0936% infection rate and some UK ashole… https://t.co/3U8EakqKtc
emmamhodge, Tue Apr 21 14:32:02 +0000 2020, -83.099288, 42.352787, Your dropped this 👑
ConnollyRc, Tue Apr 21 14:32:02 +0000 2020, -98.349785, 40.931083, TRUTH ABSOLUTE UNDER GOD. IS KNOWN HIM JESUS CHRIST. YEP THEN YOU RESPECT HIM MORE. LEGAL NOTE HE WAS TRIED IN LYER… https://t.co/ypo6VYpOeI
