username, created_at, lng, lat, text
GSawision, Tue Apr 21 14:29:55 +0000 2020, -79.272570, 43.629311, @myearwood65 @FuzzySockzz @JohnMorelli_BC @bal4_rednirus @rustypenny_wood @sweetdizzydee @JustinSchafer1… https://t.co/bsL4jbtqAP
dancast38, Tue Apr 21 14:29:55 +0000 2020, -100.366033, 25.650287, @aarxzt17 Any muy buenos días, que sea provechoso, enjoy ☕️😃👍🏡🙏
EDDYCAZMX, Tue Apr 21 14:29:55 +0000 2020, -111.001401, 31.192592, ⚠️ Inicia Fase 3 ⚠️ #QuedateEnCasa #QuedateEnCasa
kcpampo_, Tue Apr 21 14:29:55 +0000 2020, -123.358379, 48.426730, 😂😂 ukinnana simone haha ang aga aga pinapatawa mo ko
joshuafkon, Tue Apr 21 14:29:55 +0000 2020, -74.724323, 40.073041, I’m interested in what the breakeven oil price is for the Petro-states whose national budgets are reliant on oil ex… https://t.co/9oTs17pRK0
Swopes, Tue Apr 21 14:29:55 +0000 2020, -73.948775, 40.655138, @KVLE I’ve been doing that
tmj_NAS_schn, Tue Apr 21 14:29:55 +0000 2020, -74.436675, 40.553041, Interested in a job in #PiscatawayTownship, NJ? This could be a great fit: https://t.co/fC5bgcq7We #SupplyChain
chicofithuggins, Tue Apr 21 14:29:55 +0000 2020, -71.088712, 42.313670, ⚠️Chico Fit 21 Day Plank Challenge⚠️Yow Fitfam!! As requested by popular demand, here’s the Chico Fit 21 Day Plank… https://t.co/zAXU91L5qH
jesreadsbooks, Tue Apr 21 14:29:55 +0000 2020, -82.985772, 39.994684, I’m really PROUD of the videos I have coming this week. Not because they’re particularly special or inventive but b… https://t.co/q5E55kbGNk
KameronBennett, Tue Apr 21 14:29:55 +0000 2020, -93.262046, 44.970610, Miserable people always everybody else to be miserable right along wit they ass 😩
mariaxmtz1, Tue Apr 21 14:29:55 +0000 2020, -98.540651, 29.417501, From Kindergarten to Kindergarten teacher!👩🏻‍🏫 #NationalKindergartenDay #OnceaStudentNowaTeacher #iTeachK https://t.co/4BbGhXsPkq
demetriesii, Tue Apr 21 14:29:56 +0000 2020, -70.099683, 41.690479, @P_KIRBY94 no idea but i’ll be home soon regardless
d_donelson17, Tue Apr 21 14:29:56 +0000 2020, -86.791549, 36.200008, @o7Charlie_ Lol stop lying to the girls unless the state opened us back up . 🙄
PistolPete2506, Tue Apr 21 14:29:55 +0000 2020, -83.804475, 27.698682, @A1fred419 @T_Aw3some @TmaPresi @TwitchTvFliss @DonTeeVee @FROG1786 @ImSpezi @R9Rai @RiaBish @VizuaLizah @sValeyy… https://t.co/ApoBHDAsW5
mxxcKxy, Tue Apr 21 14:29:56 +0000 2020, -98.540651, 29.417501, Me w the new packs that came in 😳
TheKendallBaker, Tue Apr 21 14:29:56 +0000 2020, -122.435979, 37.770657, 🔥🔥🔥🔥🔥🔥🔥
