username, created_at, lng, lat, text
GatorNDE, Tue Apr 21 14:59:39 +0000 2020, -75.386460, 39.145024, @NASCAR @TalladegaSuperS
TonyDeSantis69, Tue Apr 21 14:59:39 +0000 2020, -117.104989, 32.810012, @dc134L @sidrosenberg @ScottKaplan Who Obama??
nigel_keeper, Tue Apr 21 14:59:39 +0000 2020, -75.117998, 40.004866, Thankyou baby 😂💛💛
TripDawg, Tue Apr 21 14:59:39 +0000 2020, -117.104989, 32.810012, is at the pad!
arluengas, Tue Apr 21 14:59:39 +0000 2020, -100.293591, 25.641718, @deniseramosm Buenos días ☀️ muy buena y pertinente tu pregunta, en ella la respuesta
Kujatredmsu, Tue Apr 21 14:59:39 +0000 2020, -83.207858, 42.261950, @2LarryJohnson7 Unbelievable I clicked it now I can’t get it outta my head my god. Screw there parents for putting… https://t.co/lk3QbehQZg
AlanFalcony, Tue Apr 21 14:59:39 +0000 2020, -82.824570, 27.977640, People in silhouette with buckets of fish feeding the seagulls in the air, at the beautiful beach of Clearwater, Fl… https://t.co/nvDDPO07IZ
wmeyer07, Tue Apr 21 14:59:40 +0000 2020, -90.187880, 30.003610, Congratulations another 20yr repeat customer even during  Pandemic Ms Yvonne called ...and said, Don’t let car buyi… https://t.co/3q3fkVScCC
thejohnay, Tue Apr 21 14:59:40 +0000 2020, -121.120598, 37.741141, @phillygodfather 7!
layaaa1127, Tue Apr 21 14:59:40 +0000 2020, -83.173867, 32.678207, i think i’m passed the point of calling you a bad habit.
ParisianPlato, Tue Apr 21 14:59:40 +0000 2020, -71.103722, 42.395403, Omfg I completely forgot Auturito was the father of Denver and Monica’s baby!!! #scandal
PhillipsBBQ, Tue Apr 21 14:59:40 +0000 2020, -118.411907, 34.020789, 🌴 #openfortakeout #leimertpark #hawthorne #crenshaw #southcentral #santamonica #california #culvercity… https://t.co/1K8l54AnhE
ATEENSPERSPCTIV, Tue Apr 21 14:59:40 +0000 2020, -77.604684, 41.117936, @AdamSchefter @Chargers The hype didn’t disappoint
hoesabelle, Tue Apr 21 14:59:40 +0000 2020, -158.026454, 21.335869, why do all the boys that seem compatible with me relationshipship wise live outerisland or mainland LOL
BernardMotorcar, Tue Apr 21 14:59:40 +0000 2020, -80.926628, 33.631140, @GTGavinThomas @CoachC12LeMay @nc_hsfb @mmental7 @Coach_Kavy @mogore11 Congratulations Gavin. #hardworkworks
MonsterKidHSCo, Tue Apr 21 14:59:40 +0000 2020, -81.367773, 28.501678, @mickeymutineers @DisFlicksTidbit You liked my tweet
__TraBoogie, Tue Apr 21 14:59:40 +0000 2020, -79.857363, 36.090397, Despite of everything he keep on blessing me and for that I’m forever thankful 🙌🏾
lpepper45, Tue Apr 21 14:59:40 +0000 2020, -84.481627, 42.746720, I've run out of captions for Lionel pictures so here u go https://t.co/YRYOAv4bVa
SMGCHS, Tue Apr 21 14:59:40 +0000 2020, -77.704496, 39.663427, Practicing #SocialDistancing @Shannonstorch @rec_ocho &amp; @Sidmccray34 spend time in #SetonHall looking at getting ou… https://t.co/bgFYc9Ksp4
p_jonesSculptor, Tue Apr 21 14:59:41 +0000 2020, -92.177808, 38.552600, @RepSwalwell Spoken like the true douche you are Eric!
ItsMamaGhost, Tue Apr 21 14:59:40 +0000 2020, -111.931711, 34.168253, 😂🤣 He loves me 💋 https://t.co/FUc3MJmkyi
ArthurSaul1, Tue Apr 21 14:59:40 +0000 2020, -76.620482, 39.284713, @JRubinBlogger Lady of color https://t.co/chBMga1ApF
juanpurdie44, Tue Apr 21 14:59:41 +0000 2020, -76.255686, 36.895082, I never missed working so much in my life
AndrewJOrlowski, Tue Apr 21 14:59:41 +0000 2020, -105.068348, 39.899287, I've recently been trying to grow my Instagram a lot, i feel like the opportunitys on that platform are 10x bigger… https://t.co/bRJiBjQw8e
Rocket_DFA, Tue Apr 21 14:59:41 +0000 2020, -111.992317, 40.603071, @rrfosho72 @Texrangernation Pot calling kettle black?
diegoebarros, Tue Apr 21 14:59:41 +0000 2020, -87.732013, 41.833585, Eh, @Outconsumer
SosaBibby, Tue Apr 21 14:59:41 +0000 2020, -96.961483, 32.863917, Tell @DaBabyDaBaby we need him on this 🥶
FLU_2Cold, Tue Apr 21 14:59:41 +0000 2020, -82.985772, 39.994684, Guys. I really wanna sports car and I can’t let it go😂😂😂
koalapuffss, Tue Apr 21 14:59:41 +0000 2020, -118.411907, 34.020789, Yess that’s huge for us!!!
Par_T_Shots_Bob, Tue Apr 21 14:59:41 +0000 2020, -73.638573, 40.634695, @NickDiPaolo great seeing you with @CompoundBoss and @LandauDave , im guessing an edible and half a pint of jack daniels
dai_fluu, Tue Apr 21 14:59:41 +0000 2020, -85.170051, 41.086917, @theoggraken both v cute and I love it
tmj_njn_sales, Tue Apr 21 14:59:41 +0000 2020, -74.043474, 40.885933, If you're looking for work in #Hackensack, NJ, check out this opportunity with with one of our agency partners, Sea… https://t.co/Lr7N28dpYX
kpasta, Tue Apr 21 14:59:41 +0000 2020, -76.255686, 36.895082, This is on you @realDonaldTrump
iamchubbybunny, Tue Apr 21 14:59:42 +0000 2020, -118.411907, 34.020789, I was starting to go to sleep at a normal hour again, but I guess it's time to throw that out the window again. Exc… https://t.co/mLaRhgH3tV
YasTheRealtor, Tue Apr 21 14:59:42 +0000 2020, -76.620482, 39.284713, I’m at the point where I’m over dealing with niggas. I honestly just wanna focus on building my career
cyclist_lawyer, Tue Apr 21 14:59:42 +0000 2020, -105.233710, 39.776770, Once again, we are what we eat. And what we listen to. And what we read. And we become like those people with wh… https://t.co/2N90i5Wo6j
AnneMurata, Tue Apr 21 14:59:42 +0000 2020, -157.799589, 21.319944, @ecotraveler Bless you! I’m so thankful mine are grown. 🤷🏼‍♀️ What about taking the video games away? And reading w… https://t.co/3xPt8NjXa6
JASPearce77, Tue Apr 21 14:59:42 +0000 2020, -76.998298, 39.577368, @GovLarryHogan Thank you @GovLarryHogan for your professionalism, leadership, thoughtfulness, dedication and CARE t… https://t.co/EtcI8uAN7m
MidasCerauno, Tue Apr 21 14:59:42 +0000 2020, -95.446486, 29.838495, Gianni Versace - ideas, designs, &amp; education were beyond his time
chubbz1731, Tue Apr 21 14:59:42 +0000 2020, -74.184848, 40.734494, @Adorenaay Give me the money I’ll hold it
RobinLacasse1, Tue Apr 21 14:59:42 +0000 2020, -68.984705, 45.188407, @ryanstruyk @maggieNYT In the age of Trump it looks like reporters are even trying to make the pandemic look racist… https://t.co/8LPIKVb00H
RJHoncho3465, Tue Apr 21 14:59:42 +0000 2020, -73.860857, 40.944568, She’s perfect 🤧
lemonymosely, Tue Apr 21 14:59:42 +0000 2020, -71.812438, 42.275760, @theonehanonly Hell yesss
Johansson85, Tue Apr 21 14:59:42 +0000 2020, -73.723025, 45.557830, @NaomiAKlein @JoeBiden has to add the new green deal in his agenda
NTGraff, Tue Apr 21 14:59:42 +0000 2020, -90.011008, 29.982601, @Laura_Buchtel Time for some new routes!! https://t.co/UzX22iy0aY
dr_raskin, Tue Apr 21 14:59:43 +0000 2020, -77.014398, 38.898603, @VCUNursing @Nurs621 @VCUWilderSchool @RTDOpinions Thank you. In these extremely hard times, collaborating means mo… https://t.co/pwbhGz09R5
Seauxsuccessful, Tue Apr 21 14:59:43 +0000 2020, -84.327317, 33.785068, @YaNiggasAintMe What happened?
ProducerLauren_, Tue Apr 21 14:59:43 +0000 2020, -89.922029, 35.133521, This thread is worth a read.
TheRealJaimeP, Tue Apr 21 14:59:43 +0000 2020, -118.010579, 34.117285, Wait … #KimJongUn died?
ethier_frank, Tue Apr 21 14:59:43 +0000 2020, -73.723025, 45.557830, @barbudeville 🤜❤🤛
___blvckrebel, Tue Apr 21 14:59:43 +0000 2020, -81.068556, 29.190223, @_papique 😂😂😂
JasonRoss70, Tue Apr 21 14:59:43 +0000 2020, -80.345263, 27.300765, @DetroitSteel_ #CaptainTrumps test kit
__BJ_, Tue Apr 21 14:59:43 +0000 2020, -90.833088, 29.794553, LMAOO bruh
JGHester350, Tue Apr 21 14:59:44 +0000 2020, -86.270540, 45.001180, This combines 432 Hz &amp; 528 Hz - Miracle Healing Tones.Makes me want to sleep.https://t.co/imOavfPfz0
Queenhildaglam, Tue Apr 21 14:59:44 +0000 2020, -119.306608, 37.269176, @funder @realDonaldTrump #ImpeachedPresidentTrump
USNAVY_CHIEF1, Tue Apr 21 14:59:44 +0000 2020, -76.745625, 39.112217, @RedStateBlonde My first thought. “Fake” Faie hair, fake etc...
Elena43485021, Tue Apr 21 14:59:44 +0000 2020, -73.831187, 40.670879, Santa Misa de Hoy, Martes, 21 de Abril de 2020 https://t.co/vfSOMHSKSl vía @YouTube
GHeavenlyLegs, Tue Apr 21 14:59:44 +0000 2020, -71.566171, 44.001230, THIS
AynW, Tue Apr 21 14:59:44 +0000 2020, -90.011008, 29.982601, @CaraJouglard @ed_guidry Same!
Dwebbb27, Tue Apr 21 14:59:44 +0000 2020, -74.457538, 40.821961, @benshapiro No one is saying Trump is evil for doing this. We’re saying he’s deflecting to immigration/his “greates… https://t.co/uov4sTz7A0
jenntakahashi, Tue Apr 21 14:59:44 +0000 2020, -122.435979, 37.770657, In 2008, I hit up BJ Novak on MySpace and he said I should come to his LA comedy show so my mom and I actually drov… https://t.co/UIZljjZN4o
natalie_moreira, Tue Apr 21 14:59:44 +0000 2020, -118.411907, 34.020789, A year ago I was in a dark spot in my life, I fell into anxiety &amp; depression but I fought everyday to get out of it… https://t.co/KE6BvbMesB
RagrKj, Tue Apr 21 14:59:44 +0000 2020, -97.285913, 32.779967, Siempre estas solo sin ayuda
lisellmusic, Tue Apr 21 14:59:44 +0000 2020, -93.262046, 44.970610, https://t.co/RSdkcUI6xk
laurlacal, Tue Apr 21 14:59:44 +0000 2020, -73.948775, 40.655138, Unreal
mrlivingood, Tue Apr 21 14:59:44 +0000 2020, -84.482788, 39.083708, @johnmarkmc Mandolin Rain
auntiescreation, Tue Apr 21 14:59:44 +0000 2020, -90.956134, 30.519427, Today’s tee shirt Tuesday is very true 💁🏽‍♀️ •••Available for pick up at bayoubellegiftboutique | ONLY 1 MEDIUM… https://t.co/uCIi3ofxlx
natalie_moreira, Tue Apr 21 14:59:44 +0000 2020, -118.411907, 34.020789, Reminder: You are worthy! ❤️
RonnCott, Tue Apr 21 14:59:44 +0000 2020, -94.983932, 29.507978, OMG I THOUGHT THE LIL WAYNE THING WAS A FARCE. 🤯🤯🤯🤯@lovelyti reported on it so child i gotta ‘ccept it. 😅
ariyannaunique, Tue Apr 21 14:59:44 +0000 2020, -86.441236, 39.766555, actually dead af 💀
djpuffyp, Tue Apr 21 14:59:44 +0000 2020, -86.791549, 36.200008, @leahkepley I wish i was like you
Mongosse_Ulala, Tue Apr 21 14:59:45 +0000 2020, -101.166961, 25.032632, Y no es el dinero, es como ejecutaste todo el goshting y me dejaste colgada con un evento, me caga que las personas… https://t.co/10twhJxT7m
ken_nacolle, Tue Apr 21 14:59:45 +0000 2020, -85.026365, 32.438372, 🥺🥺🥺🥺🥺
